Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,reviews,Sentiment,Emotion,rating
1,B001E4KFG0,A3SGXH7AUHU8GW,delmartian,1,1,5,1303862400,Good Quality Dog Food,buy several vitality can dog food product find good quality product look like stew process meat smell well labrador finicky appreciate product well,Positive,Joyful😄,5
2,B00813GRG4,A1D87F6ZCVE5NK,dll pa,0,0,1,1346976000,Not as Advertised,product arrive label jumbo salt peanutsthe peanut actually small sized unsalted sure error vendor intend represent product jumbo,Positive,Joyful😄,1
3,B000LQOCH0,ABXLMWJIXXAIN,"Natalia Corres ""Natalia Corres""",1,1,4,1219017600,"""Delight"" says it all",confection around century light pillowy citrus gelatin nuts case filbert cut tiny square liberally coat powdered sugar tiny mouthful heaven chewy flavorful highly recommend yummy treat familiar story cs lewis lion witch wardrobe treat seduce edmund sell brother sister witch,Positive,Joyful😄,4
4,B000UA0QIQ,A395BORC6FGVXV,Karl,3,3,2,1307923200,Cough Medicine,look secret ingredient robitussin believe find get addition root beer extract order good make cherry soda flavor medicinal,Positive,Joyful😄,2
5,B006K2ZZ7K,A1UQRSCLF8GW1T,"Michael D. Bigham ""M. Wassir""",0,0,5,1350777600,Great taffy,great taffy great price wide assortment yummy taffy delivery quick taffy lover deal,Positive,Joyful😄,5
6,B006K2ZZ7K,ADT0SRK1MGOEU,Twoapennything,0,0,4,1342051200,Nice Taffy,get wild hair taffy order five pound bag taffy enjoyable many flavor watermelon root beer melon peppermint grape etc complaint bit much redblack licoriceflavore piece particular favorite kid husband last two week would recommend brand taffy delightful treat,Positive,Joyful😄,4
7,B006K2ZZ7K,A1SP2KVKFXXRU1,David C. Sullivan,0,0,5,1340150400,Great!  Just as good as the expensive brands!,saltwater taffy great flavor soft chewy candy individually wrap well none candy stick together happen expensive version fralinger would highly recommend candy serve beachthemed party everyone love,Positive,Joyful😄,5
8,B006K2ZZ7K,A3JRGQVEQN31IQ,Pamela G. Williams,0,0,5,1336003200,"Wonderful, tasty taffy",taffy good soft chewy flavor amazing would definitely recommend buying satisfy,Positive,Joyful😄,5
9,B000E7L2R4,A1MZYO9TZK0BBI,R. James,1,1,5,1322006400,Yay Barley,right I m mostly sprout cat eat grass love rotate around wheatgrass rye,Positive,Joyful😄,5
10,B00171APVA,A21BT40VZCCYT4,Carol A. Reed,0,0,5,1351209600,Healthy Dog Food,healthy dog food good digestion also good small puppy dog eat require amount every feeding,Positive,Joyful😄,5
11,B0001PB9FE,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,The Best Hot Sauce in the World,do not know cactus tequila unique combination ingredient flavour hot sauce make one kind pick bottle trip bring back home we totally blow away realize simply could not find anywhere city bummedbr br magic internet case sauce ecstatic itbr br love hot saucei mean really love hot sauce do not want sauce tastelessly burn throat grab bottle tequila picante gourmet de inclan realize taste never want use saucebr br thank personal incredible service,Positive,Joyful😄,5
12,B0009XLVG0,A2725IB4YY9JEB,"A Poeng ""SparkyGoHome""",4,4,5,1282867200,"My cats LOVE this ""diet"" food better than their regular food",one boy need lose weight do not put food floor chubby guy proteinrich byproduct food high skinny boy jump high food sit go stale really go food chubby boy lose ounce week,Positive,Joyful😄,5
13,B0009XLVG0,A327PCT23YH90,LT,1,1,1,1339545600,My Cats Are Not Fans of the New Food,cat happily eat felidae platinum two year get new bag shape food different try new food first put bowl bowl sit full kitty touch food I ve notice similar review relate formula change past unfortunately need find new food cat eat,Positive,Joyful😄,1
14,B001GVISJM,A18ECVX2RJ7HUE,"willie ""roadie""",2,2,4,1288915200,fresh and greasy!,good flavor come securely pack fresh delicious love twizzler,Positive,Joyful😄,4
15,B001GVISJM,A2MUGFV2TDQ47K,"Lynrie ""Oh HELL no""",4,5,5,1268352000,Strawberry Twizzlers - Yummy,strawberry twizzler guilty pleasure yummy six pound around son,Negative,Angry😠,5
16,B001GVISJM,A1CZX3CP8IKQIJ,Brian A. Lee,4,5,5,1262044800,"Lots of twizzlers, just what you expect.",daughter love twizzler shipment six pound really hit spot exactly would expectsix package strawberry twizzler,Positive,Joyful😄,5
17,B001GVISJM,A3KLWF6WQ5BNYO,Erica Neathery,0,0,2,1348099200,poor taste,love eat good watch tv look movie sweet like transfer zip lock baggie stay fresh take time eat,Positive,Joyful😄,2
18,B001GVISJM,AFKW14U97Z6QO,Becca,0,0,5,1345075200,Love it!,satisfied twizzler purchase share other enjoyed definitely order,Positive,Joyful😄,5
19,B001GVISJM,A2A9X58G2GTBLP,Wolfee1,0,0,5,1324598400,GREAT SWEET CANDY!,twizzler strawberry childhood favorite candy make lancaster pennsylvania candies inc one old confectionery firm united states subsidiary hershey company company establish young smylie also make apple licorice twist green color blue raspberry licorice twist like allbr br keep dry cool place recommend put fridge accord guinness book record longest licorice twist ever make measured foot weight pound kg make candy inc recordbreake twist become guinness world record july product kosher thank,Positive,Joyful😄,5
20,B001GVISJM,A3IV7CL2C13K2U,Greg,0,0,5,1318032000,Home delivered twizlers,candy deliver fast purchase reasonable price home bind unable get store perfect,Positive,Joyful😄,5
21,B001GVISJM,A1WO0KGLPR5PV6,mom2emma,0,0,5,1313452800,Always fresh,husband twizzler addict we ve buy many time amazon government employee live overseas can not get country assign they ve always fresh tasty pack well arrive timely manner,Positive,Joyful😄,5
22,B001GVISJM,AZOF9E17RGZH8,Tammy Anderson,0,0,5,1308960000,TWIZZLERS,buy husband currently overseas love apparently staff like alsobr generous amount twizzler ounce bag well worth price hrefhttpwwwamazoncomgpproductbgvisjmtwizzler strawberry ounce bag pack,Positive,Joyful😄,5
23,B001GVISJM,ARYVQL4N737A1,Charles Brown,0,0,5,1304899200,Delicious product!,remember buy candy kid quality have not drop year still superb product will not disappoint,Positive,Joyful😄,5
24,B001GVISJM,AJ613OLZZUG7V,Mare's,0,0,5,1304467200,Twizzlers,love candy weight watcher cut back still crave,Positive,Joyful😄,5
25,B001GVISJM,A22P2J09NJ9HKE,"S. Cabanaugh ""jilly pepper""",0,0,5,1295481600,Please sell these in Mexico!!,live we yrs miss twizzler go back visit someone visit always stock say yumbr sell mexico faithful buyer often I m able buy right,Positive,Joyful😄,5
26,B001GVISJM,A3FONPR03H3PJS,"Deborah S. Linzer ""Cat Lady""",0,0,5,1288310400,Twizzlers - Strawberry,product receive advertisedbr br hrefhttpwwwamazoncomgpproductbgvisjmtwizzler strawberry ounce bag pack,Neutral,Calm😌,5
27,B001GVISJM,A3RXAU2N8KV45G,lady21,0,1,1,1332633600,Nasty No flavor,candy red flavor plan chewy would never buy,Neutral,Calm😌,1
28,B001GVISJM,AAAS38B98HMIK,Heather Dube,0,1,4,1331856000,Great Bargain for the Price,glad amazon carry battery hard time find elsewhere unique size need garage door openerbr great deal price,Positive,Joyful😄,4
29,B00144C10S,A2F4LZVGFLD1OB,DaisyH,0,0,5,1338854400,YUMMY!,get mum diabetic need watch sugar intake father simply choose limit unnecessary sugar intake she s one sweet tooth love toffee would never guess they re sugarfree great eat pretty much guilt free impress I ve order w dark chocolate take office ill eat instead snack sugary sweetsbr excellent,Positive,Joyful😄,5
30,B0001PB9FY,A3HDKO7OW0QNK4,Canadian Fan,1,1,5,1107820800,The Best Hot Sauce in the World,do not know cactus tequila unique combination ingredient flavour hot sauce make one kind pick bottle trip bring back home we totally blow away realize simply could not find anywhere city bummedbr br magic internet case sauce ecstatic itbr br love hot saucei mean really love hot sauce do not want sauce tastelessly burn throat grab bottle tequila picante gourmet de inclan realize taste never want use saucebr br thank personal incredible service,Positive,Joyful😄,5
31,B003F6UO7K,AFM0O9480F04W,Sherril,0,0,5,1297641600,Great machine!,never huge coffee fan however mother purchase little machine talk try latte macciato coffee shop well one like product usually noncoffee drinkerbr little dolche guesto machine super easy use prepare really good coffeelattecappuccinoetc less minute water heat would recommend dolce gusto anyone good price iam get one,Positive,Joyful😄,5
32,B003F6UO7K,A31OQO709M20Y7,"Molly V. Smith ""staral""",0,1,5,1288310400,THIS IS MY TASTE...,offer great price great taste thank amazon selling productbr br staral,Positive,Joyful😄,5
33,B001EO5QW8,AOVROBZ8BNTP7,S. Potter,19,19,4,1163376000,Best of the Instant Oatmeals,mccanns instant oatmeal great must oatmeal scrape together two three minute prepare escape fact however even well instant oatmeal nowhere near good even store brand oatmeal require stovetop preparation still mccann good get instant oatmeal even well organic allnatural brand try variety mccanns variety pack taste good prepared microwave add boiling water convenient extreme time issuebr br mccanns use actual cane sugar instead high fructose corn syrup help decide buy product real sugar taste well harmful stuff one thing like though mccanns use thickener oat plus water plus heat make creamy tasty oatmeal without need guar gum convenience product maybe guar gum sit bowl instant mccann become thick gluey,Positive,Joyful😄,4
34,B001EO5QW8,A3PMM0NFVEJGK9,"Megan ""Bad at Nicknames""",13,13,4,1166313600,Good Instant,good instant oatmeal good oatmeal brand use cane sugar instead high fructouse corn syrup well sweetness doctor say form sugar well great cold morning do not time make mccanns steel cut oats apple cinnamon good maple brown sugar regular good plus do not require doctoring actually tell three flavor apart,Positive,Joyful😄,4
35,B001EO5QW8,A2EB6OGOWCRU5H,CorbyJames,9,9,5,1175212800,Great Irish oatmeal for those in a hurry!,instant oatmeal become soggy minute water hit bowl mccanns instant oatmeal hold texture excellent flavor good time mccanns regular oat meal excellent may take bit long prepare time morning good instant brand I ve ever eat close second noninstant varietybr br mccanns instant irish oatmeal variety pack regular apple cinnamon maple brown sugar count box pack,Positive,Joyful😄,5
36,B001EO5QW8,A2CI0RLADCRKPF,T. J. Ryan,3,3,4,1210464000,satisfying,mccanns instant irish oatmeal variety pack regular apple cinnamon maple brown sugar count box pack br br I m fan mccanns steelcut oats think i d give instant variety try find hardy meal sweet great folk like postbariatric surgery need food palatable easily digestible fiber will not make bloat,Positive,Joyful😄,4
37,B001EO5QW8,A1MYS9LFFBIYKM,"Abby Chase ""gluten free""",2,2,5,1190851200,Love Gluten Free Oatmeal!!!,us celiac disease product lifesaver could well get almost half price grocery health food store love mccann instant oatmeal flavorsbr br thanksbr abby,Positive,Joyful😄,5
38,B001EO5QW8,A3MGP2E1ZZ6GRB,"Zardoz ""focuspuller""",1,1,5,1238457600,it's oatmeal,else need know oatmeal instant make half cup lowfat milk add raisinsnuke seconds expensive kroger store brand oatmeal maybe little tastier well texture something still oatmeal mmm convenient,Negative,Angry😠,5
39,B001EO5QW8,A2GHZ2UTV2B0CD,JERRY REITH,0,0,4,1350777600,GOOD WAY TO START THE DAY....,visit friend nate morning coffee come storage room packet mccann instant irish oatmeal suggest try use stash sometimes nate dose give chance say end try apple cinn find tastefull make water powder milk go good oj coffee slice toast ready take worldor day least jerry reith,Positive,Joyful😄,4
40,B001EO5QW8,AO80AC8313NIZ,kYpondman,0,0,5,1317168000,Wife's favorite Breakfast,order wife reccomende daughter almost every morning like flavor she s happy I m happybr hrefhttpwwwamazoncomgpproductbeoqwmccanns instant irish oatmeal variety pack regular apple cinnamon maple brown sugar count box pack,Positive,Joyful😄,5
41,B001EO5QW8,AQCY5KRO7489S,Garrett,0,0,5,1303430400,Why wouldn't you buy oatmeal from Mcanns? Tastes great!,variety pack taste greatbr br every morning cent per meal do not understand everyone earth be not buy stuff upbr br maple brown sugar terrific follow apple cinnamon follow regular do not get tired ole thing taste greatbr br boil water small pot empty packet bowl pour boiling water watch expand x sizebr br taste really good take minute preparebr br sure everyone earth be not convenient healthy quick excellent quality extremely cheap,Positive,Joyful😄,5
